,Start Time,End Time,Trip Duration,Start Station,End Station,User Type
1621326,21/06/2017 8:36,21/06/2017 8:44,489.066,14th & Belmont St NW,15th & K St NW,Subscriber
482740,11/03/2017 10:40,11/03/2017 10:46,402.549,Yuma St & Tenley Circle NW,Connecticut Ave & Yuma St NW,Subscriber
1330037,30/05/2017 1:02,30/05/2017 1:13,637.251,17th St & Massachusetts Ave NW,5th & K St NW,Subscriber
665458,02/04/2017 7:48,02/04/2017 8:19,1827.341,Constitution Ave & 2nd St NW/DOL,M St & Pennsylvania Ave NW,Customer
1481135,10/06/2017 8:36,10/06/2017 9:02,1549.427,Henry Bacon Dr & Lincoln Memorial Circle NW,Maine Ave & 7th St SW,Subscriber
1148202,14/05/2017 7:18,14/05/2017 7:24,398,1st & K St SE,Eastern Market Metro / Pennsylvania Ave & 7th St SE,Subscriber
1594275,19/06/2017 8:41,19/06/2017 9:00,1105.429,Park Rd & Holmead Pl NW,8th & H St NW,Subscriber
1601832,20/06/2017 5:54,20/06/2017 6:05,636.218,1st & D St SE,Potomac & Pennsylvania Ave SE,Subscriber
574182,24/03/2017 20:37,24/03/2017 20:42,328.53,18th & R St NW,15th & P St NW,Subscriber
327058,20/02/2017 21:12,20/02/2017 21:31,1188.09,17th & Corcoran St NW,Lynn & 19th St North,Subscriber
854729,17/04/2017 2:50,17/04/2017 3:05,866.689,37th & O St NW / Georgetown University,37th & O St NW / Georgetown University,Customer
721887,08/04/2017 1:12,08/04/2017 1:52,2385.411,10th & G St NW,5th St & Massachusetts Ave NW,Customer
143181,26/01/2017 20:01,26/01/2017 20:17,951.457,10th St & L'Enfant Plaza SW,1st & Rhode Island Ave NW,Subscriber
26953,06/01/2017 17:36,06/01/2017 17:43,448.628,North Capitol St & F St NW,1st & M St NE,Subscriber
1308542,28/05/2017 3:50,28/05/2017 4:24,2039.472,Henry Bacon Dr & Lincoln Memorial Circle NW,Lincoln Memorial,Customer
1592744,19/06/2017 7:46,19/06/2017 7:55,505.482,Metro Center / 12th & G St NW,North Capitol St & G Pl NE,Subscriber
1139713,13/05/2017 11:29,13/05/2017 11:55,1591.326,16th & Harvard St NW,New York Ave & 15th St NW,Customer
1478516,10/06/2017 6:04,10/06/2017 6:32,1672.075,17th St & Massachusetts Ave NW,15th & East Capitol St NE,Subscriber
679837,03/04/2017 10:22,03/04/2017 10:26,231.952,20th & Crystal Dr,6th & S Ball St,Subscriber
1392498,03/06/2017 11:42,03/06/2017 12:21,2291.454,22nd & I St NW / Foggy Bottom,Lamont & Mt Pleasant NW,Customer
746605,09/04/2017 11:05,09/04/2017 11:26,1261.363,Henry Bacon Dr & Lincoln Memorial Circle NW,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Customer
868881,18/04/2017 5:42,18/04/2017 6:31,2964.818,Anacostia Metro,Congress Heights Metro,Subscriber
1161275,15/05/2017 7:35,15/05/2017 7:49,825.59,3rd & H St NE,Oklahoma Ave & D St NE,Subscriber
305000,19/02/2017 0:43,19/02/2017 0:46,226.006,18th St & Wyoming Ave NW,Calvert St & Woodley Pl NW,Subscriber
1174029,16/05/2017 7:34,16/05/2017 7:50,920.84,Florida Ave & R St NW,L'Enfant Plaza / 7th & C St SW,Subscriber
1157984,15/05/2017 5:39,15/05/2017 6:02,1371.512,Lincoln Memorial,Arlington Blvd & Fillmore St,Subscriber
694527,05/04/2017 1:36,05/04/2017 1:40,254.076,13th St & New York Ave NW,11th & M St NW,Subscriber
228536,08/02/2017 9:17,08/02/2017 9:31,834.78,39th & Calvert St NW / Stoddert,Massachusetts Ave & Dupont Circle NW,Subscriber
669432,02/04/2017 12:11,02/04/2017 2:15,7427.749,2nd St & Massachusetts Ave NE,2nd St & Massachusetts Ave NE,Customer